# Metadata:
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/CRYSTAL/CRYSTAL_20191201_to_20191231_de09c18_proc.zip
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/CRYSTAL/CRYSTAL_20200101_to_20200131_de09c18_proc.zip
# *arg* filter_args = {'query_list': ['lvl0_durationInSecs > 0', 'lvl1_durationInSecs > 0', 'lvl2_durationInSecs > 0', 'lvl3_durationInSecs > 0', 'lvl4_durationInSecs > 0', 'QA1_questionCorrect==QA1_questionCorrect'], 'one_query': False, 'fillna': 0, 'verbose': False}
# Query: Intial Shape, output_shape: (9513, 114)
# Query: lvl0_durationInSecs > 0, output_shape: (7039, 114)
# Query: lvl1_durationInSecs > 0, output_shape: (4616, 114)
# Query: lvl2_durationInSecs > 0, output_shape: (3563, 114)
# Query: lvl3_durationInSecs > 0, output_shape: (2681, 114)
# Query: lvl4_durationInSecs > 0, output_shape: (1682, 114)
# Query: QA1_questionCorrect==QA1_questionCorrect, output_shape: (1637, 114)
# Filled NaN with 0
# *arg* new_feat_args = {'verbose': False}
# *arg* lvlfeats = ['avgMoleculeDragDurationInSecs', 'clearBtnPresses', 'moleculeMoveCount', 'singleRotateCount', 'stampRotateCount']
# *arg* lvlrange = range(0, 5)
# *arg* finalfeats = ['sum_lvl_0_to_4_avgMoleculeDragDurationInSecs', 'sum_lvl_0_to_4_clearBtnPresses', 'sum_lvl_0_to_4_moleculeMoveCount', 'sum_lvl_0_to_4_singleRotateCount', 'sum_lvl_0_to_4_stampRotateCount']
# Query: sum_lvl_0_to_4_avgMoleculeDragDurationInSecs < 300, output_shape: (1636, 5)

sessionID,sum_lvl_0_to_4_avgMoleculeDragDurationInSecs,sum_lvl_0_to_4_clearBtnPresses,sum_lvl_0_to_4_moleculeMoveCount,sum_lvl_0_to_4_singleRotateCount,sum_lvl_0_to_4_stampRotateCount
19110007165946580,5.455746438746439,3.0,119.0,35.0,10.0
19110010333699160,6.168426166426166,0.0,166.0,37.0,12.0
19110010595886730,6.7456367750101025,2.0,173.0,37.0,29.0
19110012352753590,9.289721742502625,9.0,195.0,29.0,27.0
19110013230278676,10.506954137392661,6.0,112.0,11.0,112.0
19110013351418380,8.93617787878788,2.0,66.0,9.0,31.0
19110013390383216,8.468589285714286,1.0,61.0,2.0,34.0
19110014584852680,6.216359629036387,6.0,415.0,172.0,96.0
19110015022410412,6.6677798395238845,4.0,189.0,37.0,32.0
19110015302701200,7.880922763926639,0.0,219.0,45.0,46.0
19110017101905560,2.9409472107127845,2.0,620.0,349.0,20.0
19110017123893936,6.495259615384615,0.0,45.0,2.0,16.0
19110017245292320,6.352913494940933,0.0,366.0,153.0,38.0
19110017285341308,6.088477642276423,3.0,78.0,0.0,35.0
19110017415084510,10.94694092238171,15.0,193.0,21.0,52.0
19110018013562028,7.067512781954887,11.0,158.0,19.0,36.0
19110018440627670,10.709143900711359,0.0,182.0,2.0,50.0
19110019574176256,3.5619331109744756,3.0,388.0,144.0,23.0
19110020042470030,10.285945512820511,0.0,69.0,0.0,39.0
19110020101496504,8.048621461871463,0.0,57.0,9.0,7.0
19110020174636372,8.88308400214018,1.0,129.0,4.0,97.0
19110021165460496,9.047454707561286,4.0,233.0,155.0,7.0
19110021462010370,8.169327394957984,0.0,105.0,35.0,45.0
19110106275811500,9.58104761904762,1.0,60.0,11.0,11.0
19110107271272476,5.614019230769231,0.0,59.0,5.0,11.0
19110107452628496,5.945643538047973,0.0,129.0,45.0,0.0
19110108094886650,7.006285228295097,10.0,215.0,91.0,17.0
19110108183034084,5.430176181542036,2.0,111.0,32.0,26.0
19110108281195750,14.506122733303847,3.0,92.0,12.0,63.0
19110109003063150,9.69405278204472,1.0,84.0,5.0,32.0
19110109020906940,14.335653411306042,3.0,73.0,4.0,67.0
19110109021335864,7.833099436467787,0.0,157.0,66.0,51.0
19110109024173468,12.155774050510896,12.0,107.0,2.0,76.0
19110109042668412,8.896664931882352,0.0,216.0,83.0,0.0
19110109045637090,8.106130597456374,0.0,163.0,87.0,42.0
19110109060287970,13.862249816849815,0.0,49.0,0.0,35.0
19110109073392330,8.143076585695006,0.0,63.0,6.0,40.0
19110109074286580,11.198345746845746,4.0,144.0,42.0,35.0
19110109084899132,10.113196078431374,0.0,63.0,23.0,0.0
19110109112494380,10.522507783882782,6.0,145.0,40.0,23.0
19110109113229570,12.88085712177278,22.0,268.0,36.0,267.0
19110109131037124,6.739130952380952,0.0,61.0,0.0,20.0
19110109162242970,6.590288888888889,1.0,113.0,4.0,10.0
19110109191996520,8.884427698905647,5.0,139.0,45.0,34.0
19110109301724770,10.158868333333333,0.0,129.0,21.0,96.0
19110109305396016,8.010710032460945,0.0,169.0,90.0,53.0
19110109360265190,8.108312569213732,0.0,109.0,12.0,33.0
19110109392707470,11.617450000000002,0.0,53.0,0.0,25.0
19110109420924744,6.89016268078551,1.0,118.0,28.0,13.0
19110109493086000,6.556736742424242,3.0,126.0,37.0,23.0
19110109583741708,5.898041980894922,0.0,74.0,10.0,26.0
19110110001959384,12.770652485609629,1.0,154.0,63.0,4.0
19110110042225490,8.163012820512822,4.0,96.0,2.0,89.0
19110110070509504,11.893751633986929,0.0,99.0,13.0,16.0
19110110075195148,10.81284691142191,0.0,71.0,2.0,9.0
19110110093067056,13.030089087597283,2.0,152.0,24.0,80.0
19110110113226590,5.577064843595224,0.0,288.0,151.0,16.0
19110110122651304,7.513724024024024,4.0,152.0,88.0,0.0
19110110123452424,5.30549845041652,0.0,281.0,10.0,1.0
19110110124194616,5.793834704152624,4.0,337.0,124.0,15.0
19110110134698096,9.162716622979467,4.0,174.0,7.0,68.0
19110110141113748,6.4385189942907335,4.0,177.0,2.0,9.0
19110110161476760,12.096444802164987,5.0,102.0,5.0,52.0
19110110171302264,10.823198095238094,0.0,65.0,15.0,29.0
19110110183351290,5.76765141943403,4.0,105.0,32.0,33.0
19110110190731290,8.381703738822079,0.0,108.0,0.0,3.0
19110110195008430,3.279278898225957,1.0,190.0,35.0,87.0
19110110220366730,9.801915726165726,1.0,94.0,21.0,74.0
19110110231030844,10.636113492063494,0.0,108.0,16.0,50.0
19110110251404660,5.887920840455369,3.0,191.0,51.0,21.0
19110110251540920,11.29542196969697,0.0,72.0,5.0,52.0
19110110251704210,8.67807813881108,1.0,106.0,0.0,23.0
19110110271908490,11.49226612903226,0.0,104.0,2.0,34.0
19110110292338988,8.493296009989203,8.0,173.0,6.0,29.0
19110110294281236,8.784542875124023,0.0,230.0,102.0,3.0
19110110395942944,3.0472701031792635,6.0,253.0,38.0,47.0
19110110401120430,16.42252777777778,0.0,53.0,0.0,13.0
19110110420785544,8.627117857142856,1.0,76.0,5.0,1.0
19110110461571930,7.209131439091206,0.0,193.0,6.0,0.0
19110110514120304,8.056119033415127,7.0,171.0,12.0,49.0
19110111020700890,11.707,0.0,42.0,0.0,27.0
19110111045622172,5.97329010270775,0.0,77.0,14.0,11.0
19110111095470550,10.101487179487178,7.0,110.0,0.0,8.0
19110111150882416,4.869350204169352,8.0,348.0,127.0,92.0
19110111183427932,12.858192028985506,1.0,73.0,0.0,11.0
19110111191785190,9.365503174603175,0.0,108.0,3.0,13.0
19110111213302304,10.479731929249686,3.0,122.0,11.0,24.0
19110111292033864,5.760618542044767,0.0,113.0,0.0,38.0
19110111322990910,11.142383208020048,0.0,62.0,2.0,14.0
19110111330399820,10.048655092592591,0.0,109.0,27.0,28.0
19110111344193764,10.75583281573499,0.0,77.0,4.0,15.0
19110111350883416,8.770472872909318,2.0,117.0,25.0,23.0
19110111464976830,9.981425229626735,1.0,91.0,21.0,48.0
19110111501861604,8.954702597402598,3.0,74.0,5.0,36.0
19110111503026276,7.5318584839996605,0.0,212.0,101.0,20.0
19110111512322616,7.4116122104247095,4.0,156.0,34.0,16.0
19110112012904350,6.566073908355796,1.0,146.0,65.0,2.0
19110112042390296,8.750276654000158,1.0,120.0,52.0,16.0
19110112093209628,9.62630812937063,5.0,167.0,69.0,0.0
19110112121583028,8.350731711915536,3.0,193.0,52.0,24.0
19110112152014496,7.457793746253746,4.0,121.0,48.0,37.0
19110112155459270,4.787334744203164,1.0,199.0,82.0,9.0
19110112162573650,8.11108909548831,9.0,143.0,35.0,28.0
19110112162799836,9.477399712052653,0.0,67.0,6.0,37.0
19110112202387684,8.40467556102901,4.0,97.0,10.0,13.0
19110112233714200,7.310692798124343,0.0,167.0,41.0,32.0
19110112314423890,7.507921679197994,4.0,153.0,40.0,14.0
19110112343734980,5.281389250021807,0.0,107.0,41.0,1.0
19110112344089060,6.502116483516483,0.0,54.0,3.0,20.0
19110113031149460,7.756812720375879,2.0,185.0,31.0,36.0
19110113034553864,8.3674022550859,3.0,208.0,72.0,1.0
19110113043268410,12.880229952551966,5.0,153.0,40.0,67.0
19110113051524644,7.338879965691586,3.0,192.0,26.0,27.0
19110113052189244,7.158157572879057,0.0,184.0,75.0,0.0
19110113104752176,8.552939850509851,0.0,161.0,92.0,13.0
19110113110885572,10.278243965141613,3.0,139.0,0.0,72.0
19110113150448580,9.334469907120742,6.0,172.0,10.0,92.0
19110113153429140,11.790266666666668,0.0,55.0,13.0,13.0
19110113175487610,9.595206145706145,2.0,99.0,26.0,98.0
19110113175498304,8.711179365079364,0.0,52.0,0.0,37.0
19110113242284496,17.051984877734878,0.0,108.0,1.0,43.0
19110113263969332,8.700418758043758,1.0,77.0,35.0,40.0
19110113380041350,11.402544806763284,1.0,137.0,20.0,21.0
19110113385847212,6.2696065198695194,0.0,177.0,33.0,13.0
19110113512131520,16.767475,0.0,47.0,0.0,8.0
19110113521141520,11.742814102564104,0.0,112.0,13.0,4.0
19110113522273924,6.996543464802889,10.0,209.0,57.0,46.0
19110113531283744,7.816113531047265,3.0,150.0,47.0,9.0
19110113533065332,8.955149493705528,1.0,145.0,51.0,5.0
19110113533867104,9.79788436285547,4.0,146.0,36.0,14.0
19110113535236670,10.557578431372548,1.0,93.0,22.0,3.0
19110113540679640,8.930349838969406,3.0,161.0,74.0,51.0
19110113542776990,14.359258928571428,0.0,68.0,13.0,44.0
19110113552314930,12.922033792033792,0.0,98.0,11.0,39.0
19110113560304964,9.553358628074053,0.0,121.0,59.0,37.0
19110113572486060,9.756017845117846,0.0,111.0,2.0,4.0
19110113574444736,9.527288059163059,2.0,227.0,51.0,29.0
19110114021976550,6.892455466317308,1.0,85.0,16.0,23.0
19110114111071930,6.499839285714286,0.0,61.0,10.0,18.0
19110114141808516,11.644914835164833,0.0,51.0,5.0,27.0
19110114160273610,6.4119033543890085,1.0,179.0,44.0,0.0
19110114165582184,8.671883728552151,5.0,116.0,22.0,16.0
19110114375513696,9.118870893449841,1.0,123.0,49.0,8.0
19110114533976520,7.588258772893774,2.0,89.0,6.0,28.0
19110115040445988,9.528900176123958,2.0,121.0,19.0,59.0
19110115095773410,11.492916666666666,0.0,72.0,0.0,23.0
19110115123245550,7.83872317320632,4.0,285.0,73.0,15.0
19110115531290210,6.545010249554366,0.0,82.0,0.0,1.0
19110116173170260,8.758202651515152,0.0,69.0,10.0,0.0
19110116240361476,5.5588808744855,0.0,234.0,60.0,6.0
19110116282135304,10.09707767013688,0.0,75.0,9.0,36.0
19110116291534400,7.929473564026191,3.0,100.0,22.0,24.0
19110116313627824,10.321701032763531,2.0,81.0,1.0,57.0
19110116492584584,8.59452595537871,0.0,151.0,36.0,8.0
19110116541476510,9.028111409796892,4.0,183.0,81.0,130.0
19110117005855764,12.397902392652393,0.0,114.0,1.0,71.0
19110117202190350,8.839086075205639,1.0,96.0,31.0,1.0
19110117440350196,10.298948179271708,0.0,54.0,0.0,15.0
19110117524849050,5.057445542046607,6.0,178.0,47.0,60.0
19110117594155144,7.113459741595641,5.0,328.0,170.0,125.0
19110118104104710,8.781224269629297,2.0,235.0,92.0,14.0
19110118113996932,5.34339700854701,0.0,77.0,23.0,25.0
19110118340926064,18.22890755188017,3.0,107.0,9.0,39.0
19110118381894548,4.792822303921569,4.0,137.0,30.0,49.0
19110118382397864,12.069928859404428,4.0,118.0,17.0,56.0
19110118505008160,4.266413382023342,7.0,276.0,124.0,2.0
19110119272270100,10.241755813953487,1.0,158.0,57.0,29.0
19110119501486804,10.64880944741533,5.0,130.0,8.0,36.0
19110120255447140,6.163931736784792,3.0,253.0,30.0,0.0
19110120313785188,6.741792032967033,15.0,236.0,36.0,107.0
19110120394397016,9.579591198701703,0.0,195.0,61.0,39.0
19110206192882484,4.584222611209783,0.0,310.0,94.0,2.0
19110206551126748,10.508749615975423,0.0,263.0,118.0,14.0
19110207302679812,8.327245238095239,0.0,58.0,9.0,11.0
19110207440017956,12.518739254385965,0.0,84.0,24.0,9.0
19110208013598910,6.976628571428571,0.0,59.0,11.0,8.0
19110208043960340,6.562550538225718,5.0,261.0,104.0,53.0
19110208052211064,8.967656781739295,0.0,157.0,87.0,12.0
19110208190483788,9.50440966183575,1.0,85.0,0.0,13.0
19110208265397790,7.886675804424335,4.0,105.0,4.0,22.0
19110208360350636,12.095128205128203,2.0,66.0,1.0,62.0
19110208573900332,11.890166522611516,7.0,204.0,22.0,13.0
19110209023736930,7.009132431457432,0.0,181.0,13.0,0.0
19110209031080028,9.571723049499521,3.0,121.0,24.0,19.0
19110209042070940,5.119047450980391,1.0,142.0,1.0,1.0
19110209110853196,9.32297731829574,2.0,81.0,26.0,29.0
19110209201296140,6.957323537752569,1.0,102.0,21.0,27.0
19110209202989360,8.791192105263157,0.0,107.0,15.0,23.0
19110209214913836,9.539103675856307,4.0,152.0,25.0,27.0
19110209344087050,8.741973468507334,1.0,207.0,85.0,20.0
19110209455277510,13.911054297124064,2.0,100.0,7.0,53.0
19110209483831844,8.763780070245922,0.0,161.0,47.0,47.0
19110209504507896,9.714869372294372,0.0,66.0,1.0,1.0
19110209590476804,4.511785645569557,0.0,169.0,68.0,26.0
19110210014801470,7.365619712262376,5.0,165.0,6.0,69.0
19110210023556224,5.98145191919192,16.0,280.0,55.0,40.0
19110210035965280,5.45644391025641,1.0,143.0,1.0,28.0
19110210052362756,8.815801993620415,8.0,209.0,44.0,16.0
19110210063429640,4.055211721611721,2.0,79.0,19.0,22.0
19110210113961360,8.514413703943116,1.0,61.0,7.0,26.0
19110210125311624,4.324570440715471,6.0,184.0,79.0,6.0
19110210130255164,15.80645634920635,7.0,86.0,5.0,41.0
19110210182678056,10.670781805555555,0.0,108.0,54.0,0.0
19110210224972490,4.175218448442239,5.0,143.0,0.0,38.0
19110210225153908,9.982989285714288,0.0,80.0,16.0,86.0
19110210262499200,5.773807233687721,3.0,94.0,4.0,5.0
19110210391937104,6.810525915654026,0.0,120.0,16.0,18.0
19110210404880056,5.061351515151515,0.0,93.0,19.0,0.0
19110210432333640,7.77955815556992,0.0,74.0,6.0,11.0
19110210480465704,7.841351851851851,3.0,95.0,15.0,19.0
19110210485655300,4.418305124884366,0.0,200.0,40.0,10.0
19110210490300296,11.103993963963964,3.0,92.0,21.0,30.0
19110210535561640,7.3276322859745,0.0,172.0,78.0,12.0
19110210542253012,11.862286327707382,0.0,78.0,9.0,56.0
19110210542963004,8.882213136289,0.0,69.0,5.0,15.0
19110210551096948,10.284721004794665,0.0,123.0,45.0,14.0
19110210555582176,17.214033333333333,0.0,96.0,0.0,30.0
19110210564642910,9.135718173076924,0.0,114.0,47.0,31.0
19110210565369788,7.484062742812743,3.0,141.0,41.0,5.0
19110210572277330,4.751421062376195,1.0,170.0,53.0,5.0
19110210582308040,10.41748076923077,0.0,61.0,10.0,23.0
19110210595333736,9.405696136363638,1.0,80.0,25.0,5.0
19110211011362868,6.639602380952381,1.0,89.0,10.0,0.0
19110211011622684,6.687415664318625,11.0,235.0,142.0,10.0
19110211033934610,10.088496740058032,0.0,96.0,52.0,11.0
19110211122710500,4.577075295871773,2.0,199.0,42.0,9.0
19110211153208636,9.187279532163743,2.0,216.0,82.0,34.0
19110211160360670,6.579899347527474,4.0,164.0,48.0,5.0
19110211184498800,11.278591111111112,3.0,102.0,48.0,10.0
19110211200704270,7.496708367071525,0.0,54.0,2.0,18.0
19110211230188016,8.141575833333334,2.0,119.0,35.0,15.0
19110211321778764,5.9845541666666655,0.0,76.0,22.0,12.0
19110211433610572,6.615807269180095,0.0,117.0,49.0,9.0
19110212003006064,10.340914959256065,0.0,134.0,13.0,27.0
19110212003945900,8.422823951381723,4.0,97.0,21.0,62.0
19110212004555016,11.396110714285715,0.0,118.0,10.0,0.0
19110212050032850,13.205868169085814,0.0,72.0,19.0,0.0
19110212141550310,10.381017948717949,0.0,68.0,11.0,24.0
19110212145301770,7.564842738633915,1.0,250.0,60.0,73.0
19110212172915812,10.187389277389277,2.0,79.0,5.0,21.0
19110212205195300,8.198013708513708,1.0,58.0,4.0,11.0
19110212262712820,8.706543981481483,1.0,141.0,59.0,28.0
19110212392466600,9.81333241758242,0.0,58.0,8.0,21.0
19110212451728684,22.471481105990783,12.0,175.0,0.0,140.0
19110212520299708,6.352170807453415,0.0,214.0,81.0,2.0
19110212552986080,12.176080279106857,4.0,99.0,2.0,30.0
19110212575022570,8.823062193126024,0.0,126.0,121.0,2.0
19110213011400404,9.74609706959707,0.0,74.0,14.0,5.0
19110213091213700,9.701042735042737,6.0,123.0,15.0,55.0
19110213120377344,5.430418686868688,2.0,83.0,4.0,30.0
19110213264856770,10.173885714285715,7.0,94.0,4.0,36.0
19110213345204670,7.000513397872536,3.0,287.0,119.0,1.0
19110213382352210,6.421370192307691,3.0,95.0,17.0,47.0
19110213433679360,12.179789730314731,1.0,187.0,53.0,0.0
19110213435219332,7.74445641025641,5.0,80.0,0.0,37.0
19110213435628828,6.8056772667971295,5.0,113.0,7.0,61.0
19110213443770492,9.324513109697321,4.0,103.0,33.0,0.0
19110213444661950,14.64128717627402,7.0,125.0,2.0,60.0
19110213445757236,7.5953336468362185,3.0,227.0,101.0,100.0
19110213450618124,13.953802350030921,4.0,150.0,54.0,1.0
19110213452509364,10.850242551892553,3.0,127.0,6.0,81.0
19110213452738176,7.551422397204509,5.0,215.0,64.0,34.0
19110213455218910,8.311488295646711,1.0,187.0,17.0,71.0
19110213482769544,8.729664102564103,4.0,73.0,1.0,4.0
19110213484673024,6.112742538086774,0.0,245.0,49.0,1.0
19110213485460410,8.365244318181817,0.0,86.0,21.0,28.0
19110213510352904,13.611015846954361,1.0,153.0,83.0,19.0
19110213543912196,8.867054925179687,4.0,222.0,82.0,1.0
19110214012712510,8.588248630868897,0.0,79.0,11.0,20.0
19110214022950776,6.783018072538768,5.0,204.0,61.0,30.0
19110214023729788,10.292264544025157,3.0,123.0,74.0,88.0
19110214032778950,11.562575574712646,13.0,162.0,7.0,151.0
19110214032908444,11.10336304347826,1.0,80.0,0.0,85.0
19110214033800692,10.214764291264292,6.0,152.0,55.0,87.0
19110214045866250,13.432596969696968,8.0,114.0,9.0,88.0
19110214053484816,8.01192180338233,0.0,165.0,57.0,19.0
19110214065435212,10.46690115995116,0.0,108.0,41.0,19.0
19110214081288504,8.94040984940985,0.0,89.0,8.0,18.0
19110214084319136,9.200690476190477,0.0,67.0,0.0,8.0
19110214092558824,6.647034389064102,8.0,143.0,63.0,40.0
19110214112990870,7.6765041678270585,1.0,125.0,24.0,42.0
19110214144004668,11.18319029702182,0.0,87.0,15.0,31.0
19110214181496810,8.077468200453124,8.0,130.0,24.0,11.0
19110214202062988,5.126436031160232,5.0,198.0,88.0,18.0
19110214212717296,6.758821428571428,0.0,80.0,15.0,13.0
19110214241687296,8.826752136752136,0.0,73.0,2.0,44.0
19110214351972356,7.378021428571428,1.0,73.0,39.0,1.0
19110215042462950,5.802239177489177,1.0,105.0,23.0,49.0
19110215075877964,7.093731975004402,0.0,101.0,13.0,3.0
19110215081019376,11.499241540164453,0.0,86.0,0.0,44.0
19110215404817732,9.377378787878786,1.0,48.0,0.0,17.0
19110215473381340,9.23489838864839,2.0,121.0,38.0,0.0
19110216235062390,4.90366819225926,3.0,270.0,149.0,8.0
19110216244856800,4.788160042735043,1.0,238.0,63.0,3.0
19110216353638896,7.252845987345986,1.0,82.0,3.0,58.0
19110216421633870,9.436855561307993,1.0,219.0,66.0,36.0
19110216520880584,5.861448717948718,1.0,57.0,0.0,22.0
19110217035046924,9.872989247311825,2.0,105.0,53.0,43.0
19110217111010696,6.778490817837651,8.0,167.0,30.0,60.0
19110217324894708,5.35375624376965,0.0,162.0,34.0,1.0
19110217411177784,4.21731304347826,6.0,166.0,35.0,1.0
19110217573969610,8.782140948275861,0.0,104.0,36.0,0.0
19110218115970330,10.866025076265696,3.0,170.0,72.0,36.0
19110218125897520,5.199790656565657,2.0,131.0,9.0,5.0
19110218210026944,5.586310981156595,4.0,255.0,102.0,16.0
19110218224886148,5.237454027675054,5.0,229.0,55.0,48.0
19110218320728630,7.880216133004925,0.0,127.0,46.0,28.0
19110218582426736,6.291527564102563,0.0,88.0,35.0,23.0
19110219383297972,9.308220179820179,2.0,100.0,14.0,37.0
19110220001392976,9.591785029346187,0.0,314.0,189.0,48.0
19110220045298564,7.962074358974358,0.0,47.0,17.0,5.0
19110220074446230,5.674900562727574,5.0,146.0,18.0,25.0
19110220154616068,8.323352270466286,0.0,180.0,28.0,0.0
19110220423636010,5.066268764809294,4.0,485.0,97.0,0.0
19110220461341370,12.330866271529889,6.0,104.0,0.0,47.0
19110220515899150,7.012799511599511,0.0,57.0,9.0,29.0
19110220530888730,9.579982142857142,0.0,53.0,0.0,7.0
