# Metadata:
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/CRYSTAL/CRYSTAL_20191201_to_20191231_de09c18_proc.zip
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/CRYSTAL/CRYSTAL_20200101_to_20200131_de09c18_proc.zip
# *arg* filter_args = {'query_list': ['lvl0_durationInSecs > 0', 'lvl1_durationInSecs > 0', 'lvl2_durationInSecs > 0', 'lvl3_durationInSecs > 0', 'lvl4_durationInSecs > 0', 'QA1_questionCorrect==QA1_questionCorrect', '((lvl0_finalScore != lvl0_finalScore) | (lvl0_completesCount != lvl0_completesCount) | ~((lvl0_finalScore == 0) & (lvl0_completesCount > 0)))', '((lvl1_finalScore != lvl1_finalScore) | (lvl1_completesCount != lvl1_completesCount) | ~((lvl1_finalScore == 0) & (lvl1_completesCount > 0)))', '((lvl2_finalScore != lvl2_finalScore) | (lvl2_completesCount != lvl2_completesCount) | ~((lvl2_finalScore == 0) & (lvl2_completesCount > 0)))', '((lvl3_finalScore != lvl3_finalScore) | (lvl3_completesCount != lvl3_completesCount) | ~((lvl3_finalScore == 0) & (lvl3_completesCount > 0)))', '((lvl4_finalScore != lvl4_finalScore) | (lvl4_completesCount != lvl4_completesCount) | ~((lvl4_finalScore == 0) & (lvl4_completesCount > 0)))'], 'one_query': False, 'fillna': 0, 'verbose': False}
# Query: Intial Shape, output_shape: (9513, 114)
# Query: lvl0_durationInSecs > 0, output_shape: (7039, 114)
# Query: lvl1_durationInSecs > 0, output_shape: (4616, 114)
# Query: lvl2_durationInSecs > 0, output_shape: (3563, 114)
# Query: lvl3_durationInSecs > 0, output_shape: (2681, 114)
# Query: lvl4_durationInSecs > 0, output_shape: (1682, 114)
# Query: QA1_questionCorrect==QA1_questionCorrect, output_shape: (1637, 114)
# Query: ((lvl0_finalScore != lvl0_finalScore) | (lvl0_completesCount != lvl0_completesCount) | ~((lvl0_finalScore == 0) & (lvl0_completesCount > 0))), output_shape: (1634, 114)
# Query: ((lvl1_finalScore != lvl1_finalScore) | (lvl1_completesCount != lvl1_completesCount) | ~((lvl1_finalScore == 0) & (lvl1_completesCount > 0))), output_shape: (1633, 114)
# Query: ((lvl2_finalScore != lvl2_finalScore) | (lvl2_completesCount != lvl2_completesCount) | ~((lvl2_finalScore == 0) & (lvl2_completesCount > 0))), output_shape: (1626, 114)
# Query: ((lvl3_finalScore != lvl3_finalScore) | (lvl3_completesCount != lvl3_completesCount) | ~((lvl3_finalScore == 0) & (lvl3_completesCount > 0))), output_shape: (1623, 114)
# Query: ((lvl4_finalScore != lvl4_finalScore) | (lvl4_completesCount != lvl4_completesCount) | ~((lvl4_finalScore == 0) & (lvl4_completesCount > 0))), output_shape: (1576, 114)
# Filled NaN with 0
# *arg* new_feat_args = {'verbose': False}
# *arg* lvlfeats = ['finalScore']
# *arg* lvlrange = range(0, 5)
# *arg* finalfeats = ['QA0_questionCorrect', 'QA1_questionCorrect', 'sum_lvl_0_to_4_finalScore']

sessionID,QA0_questionCorrect,QA1_questionCorrect,sum_lvl_0_to_4_finalScore
19110007165946580,1.0,1.0,193.0
19110010333699160,1.0,0.0,217.0
19110010595886730,1.0,1.0,145.0
19110012352753590,1.0,1.0,220.0
19110013230278676,1.0,1.0,284.0
19110013351418380,0.0,0.0,284.0
19110013390383216,1.0,1.0,284.0
19110014584852680,0.0,0.0,205.0
19110015022410412,1.0,1.0,171.0
19110015302701200,0.0,0.0,239.0
19110017101905560,1.0,1.0,284.0
19110017123893936,1.0,1.0,284.0
19110017245292320,0.0,1.0,257.0
19110017285341308,1.0,1.0,284.0
19110017415084510,1.0,1.0,156.0
19110018013562028,0.0,1.0,284.0
19110018440627670,0.0,0.0,204.0
19110019574176256,0.0,0.0,205.0
19110020042470030,1.0,1.0,209.0
19110020101496504,0.0,1.0,199.0
19110020174636372,1.0,0.0,132.0
19110021165460496,0.0,0.0,252.0
19110021462010370,1.0,0.0,160.0
19110107271272476,1.0,1.0,284.0
19110107452628496,1.0,1.0,152.0
19110108094886650,1.0,1.0,200.0
19110108183034084,1.0,0.0,236.0
19110108281195750,1.0,1.0,284.0
19110109003063150,0.0,0.0,176.0
19110109020906940,1.0,1.0,252.0
19110109021335864,0.0,1.0,189.0
19110109024173468,0.0,1.0,204.0
19110109042668412,1.0,1.0,252.0
19110109045637090,1.0,1.0,185.0
19110109060287970,1.0,1.0,236.0
19110109073392330,1.0,1.0,156.0
19110109074286580,1.0,1.0,210.0
19110109084899132,1.0,1.0,240.0
19110109112494380,0.0,1.0,164.0
19110109113229570,0.0,1.0,180.0
19110109131037124,1.0,1.0,204.0
19110109162242970,0.0,0.0,146.0
19110109191996520,0.0,0.0,183.0
19110109301724770,1.0,1.0,200.0
19110109305396016,1.0,1.0,164.0
19110109360265190,0.0,1.0,236.0
19110109392707470,1.0,1.0,247.0
19110109420924744,0.0,1.0,119.0
19110109493086000,0.0,1.0,197.0
19110109583741708,0.0,1.0,244.0
19110110001959384,0.0,1.0,180.0
19110110042225490,1.0,1.0,207.0
19110110070509504,0.0,0.0,182.0
19110110075195148,1.0,0.0,241.0
19110110093067056,0.0,0.0,189.0
19110110113226590,1.0,1.0,184.0
19110110122651304,0.0,0.0,169.0
19110110123452424,1.0,1.0,169.0
19110110124194616,0.0,1.0,156.0
19110110134698096,0.0,1.0,181.0
19110110141113748,1.0,1.0,199.0
19110110161476760,0.0,0.0,184.0
19110110171302264,1.0,1.0,284.0
19110110183351290,1.0,1.0,132.0
19110110190731290,1.0,1.0,147.0
19110110195008430,1.0,1.0,208.0
19110110220366730,1.0,1.0,157.0
19110110231030844,1.0,1.0,169.0
19110110251404660,0.0,1.0,204.0
19110110251540920,1.0,1.0,170.0
19110110251704210,1.0,0.0,252.0
19110110271908490,1.0,1.0,236.0
19110110292338988,0.0,1.0,204.0
19110110294281236,0.0,0.0,171.0
19110110395942944,1.0,0.0,216.0
19110110401120430,1.0,1.0,204.0
19110110420785544,1.0,1.0,252.0
19110110461571930,1.0,1.0,192.0
19110110514120304,1.0,1.0,185.0
19110111020700890,1.0,1.0,214.0
19110111045622172,1.0,1.0,184.0
