# Metadata:
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/CRYSTAL/CRYSTAL_20191201_to_20191231_de09c18_proc.zip
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/CRYSTAL/CRYSTAL_20200101_to_20200131_de09c18_proc.zip
# *arg* filter_args = {'query_list': ['sessionDurationInSecs < 2700', 'lvl0_durationInSecs > 0', '((lvl0_finalScore != lvl0_finalScore) | (lvl0_completesCount != lvl0_completesCount) | ~((lvl0_finalScore == 0) & (lvl0_completesCount > 0)))', '((lvl1_finalScore != lvl1_finalScore) | (lvl1_completesCount != lvl1_completesCount) | ~((lvl1_finalScore == 0) & (lvl1_completesCount > 0)))', '((lvl2_finalScore != lvl2_finalScore) | (lvl2_completesCount != lvl2_completesCount) | ~((lvl2_finalScore == 0) & (lvl2_completesCount > 0)))', '((lvl3_finalScore != lvl3_finalScore) | (lvl3_completesCount != lvl3_completesCount) | ~((lvl3_finalScore == 0) & (lvl3_completesCount > 0)))', '((lvl4_finalScore != lvl4_finalScore) | (lvl4_completesCount != lvl4_completesCount) | ~((lvl4_finalScore == 0) & (lvl4_completesCount > 0)))', '((lvl5_finalScore != lvl5_finalScore) | (lvl5_completesCount != lvl5_completesCount) | ~((lvl5_finalScore == 0) & (lvl5_completesCount > 0)))', '((lvl6_finalScore != lvl6_finalScore) | (lvl6_completesCount != lvl6_completesCount) | ~((lvl6_finalScore == 0) & (lvl6_completesCount > 0)))', '((lvl7_finalScore != lvl7_finalScore) | (lvl7_completesCount != lvl7_completesCount) | ~((lvl7_finalScore == 0) & (lvl7_completesCount > 0)))', '((lvl8_finalScore != lvl8_finalScore) | (lvl8_completesCount != lvl8_completesCount) | ~((lvl8_finalScore == 0) & (lvl8_completesCount > 0)))'], 'one_query': False, 'fillna': 0, 'verbose': False}
# Query: Intial Shape, output_shape: (9513, 114)
# Query: sessionDurationInSecs < 2700, output_shape: (9299, 114)
# Query: lvl0_durationInSecs > 0, output_shape: (6868, 114)
# Query: ((lvl0_finalScore != lvl0_finalScore) | (lvl0_completesCount != lvl0_completesCount) | ~((lvl0_finalScore == 0) & (lvl0_completesCount > 0))), output_shape: (6007, 114)
# Query: ((lvl1_finalScore != lvl1_finalScore) | (lvl1_completesCount != lvl1_completesCount) | ~((lvl1_finalScore == 0) & (lvl1_completesCount > 0))), output_shape: (5980, 114)
# Query: ((lvl2_finalScore != lvl2_finalScore) | (lvl2_completesCount != lvl2_completesCount) | ~((lvl2_finalScore == 0) & (lvl2_completesCount > 0))), output_shape: (5944, 114)
# Query: ((lvl3_finalScore != lvl3_finalScore) | (lvl3_completesCount != lvl3_completesCount) | ~((lvl3_finalScore == 0) & (lvl3_completesCount > 0))), output_shape: (5922, 114)
# Query: ((lvl4_finalScore != lvl4_finalScore) | (lvl4_completesCount != lvl4_completesCount) | ~((lvl4_finalScore == 0) & (lvl4_completesCount > 0))), output_shape: (5871, 114)
# Query: ((lvl5_finalScore != lvl5_finalScore) | (lvl5_completesCount != lvl5_completesCount) | ~((lvl5_finalScore == 0) & (lvl5_completesCount > 0))), output_shape: (5854, 114)
# Query: ((lvl6_finalScore != lvl6_finalScore) | (lvl6_completesCount != lvl6_completesCount) | ~((lvl6_finalScore == 0) & (lvl6_completesCount > 0))), output_shape: (5854, 114)
# Query: ((lvl7_finalScore != lvl7_finalScore) | (lvl7_completesCount != lvl7_completesCount) | ~((lvl7_finalScore == 0) & (lvl7_completesCount > 0))), output_shape: (5854, 114)
# Query: ((lvl8_finalScore != lvl8_finalScore) | (lvl8_completesCount != lvl8_completesCount) | ~((lvl8_finalScore == 0) & (lvl8_completesCount > 0))), output_shape: (5796, 114)
# Filled NaN with 0
# *arg* new_feat_args = {'verbose': False}
# *arg* lvlfeats = ['completesCount', 'finalScore']
# *arg* lvlrange = range(0, 9)
# *arg* finalfeats = ['sessionDurationInSecs', 'sum_lvl_0_to_8_completesCount', 'sum_lvl_0_to_8_finalScore']

sessionID,sessionDurationInSecs,sum_lvl_0_to_8_completesCount,sum_lvl_0_to_8_finalScore
19110006455620236,65.0,2.0,1.0
19110008154036930,508.0,5.0,124.0
19110008263737972,70.0,1.0,36.0
19110010233872736,1453.0,6.0,473.0
19110010312502350,98.0,2.0,40.0
19110010333699160,743.0,12.0,264.0
19110010404840310,289.0,0.0,0.0
19110010595886730,643.0,6.0,145.0
19110011250640824,200.0,2.0,36.0
19110011320055530,209.0,2.0,66.0
19110012203142770,76.0,2.0,66.0
19110012285885190,75.0,1.0,36.0
19110012352753590,1642.0,13.0,313.0
19110013104329544,47.0,0.0,0.0
19110013234340180,103.0,4.0,4.0
19110013351418380,1350.0,7.0,450.0
19110013390383216,1184.0,8.0,441.0
19110013412221936,205.0,3.0,2.0
19110014344740816,431.0,5.0,53.0
19110014395540984,192.0,4.0,76.0
19110015022410412,633.0,7.0,171.0
19110015122415944,121.0,4.0,170.0
19110015302701200,1366.0,18.0,422.0
19110015464670010,228.0,3.0,4.0
19110015572603170,348.0,1.0,9.0
19110015594321576,112.0,3.0,20.0
19110016042078744,173.0,2.0,39.0
19110016395063580,139.0,1.0,12.0
19110016511871544,74.0,1.0,36.0
19110016593220560,314.0,9.0,70.0
19110017002530676,518.0,6.0,321.0
19110017123893936,513.0,9.0,1050.0
19110017245292320,2527.0,13.0,496.0
19110017285341308,711.0,9.0,853.0
19110017353461380,111.0,1.0,1.0
19110017415084510,1387.0,10.0,156.0
19110017465910830,302.0,5.0,288.0
19110017552423228,56.0,1.0,36.0
19110018013562028,1153.0,10.0,509.0
19110018323593736,685.0,7.0,350.0
19110018440627670,2057.0,25.0,389.0
19110018454163984,40.0,1.0,12.0
19110019090906110,54.0,0.0,0.0
19110019300354556,224.0,2.0,66.0
19110019480151596,175.0,2.0,66.0
19110019573538300,100.0,4.0,8.0
19110019574176256,874.0,10.0,307.0
19110020042470030,771.0,6.0,209.0
19110020101496504,580.0,11.0,324.0
19110020113109680,349.0,7.0,120.0
19110020174636372,813.0,7.0,132.0
19110020333296024,307.0,4.0,148.0
19110020421633996,46.0,0.0,0.0
19110021462010370,560.0,7.0,160.0
19110021495305108,214.0,6.0,140.0
19110022355894430,580.0,1.0,12.0
19110022401380510,784.0,9.0,273.0
19110103312548788,525.0,6.0,74.0
19110105561167360,227.0,3.0,96.0
19110107271272476,1217.0,10.0,835.0
19110107452628496,482.0,7.0,212.0
19110107535306370,690.0,1.0,36.0
19110107541006190,397.0,5.0,153.0
19110108041815570,105.0,2.0,10.0
19110108094886650,2599.0,5.0,200.0
19110108124650220,483.0,5.0,120.0
19110108183034084,630.0,9.0,353.0
19110108281195750,1124.0,7.0,344.0
19110108314926490,143.0,2.0,66.0
19110108322499970,123.0,1.0,36.0
19110108332973704,78.0,3.0,36.0
19110108352952140,201.0,0.0,0.0
19110108353302268,83.0,4.0,4.0
19110108372994504,148.0,3.0,14.0
19110108381863064,112.0,3.0,2.0
19110108402016816,101.0,2.0,66.0
19110108421010690,230.0,3.0,40.0
19110108442651290,79.0,0.0,0.0
19110108442958372,97.0,2.0,85.0
19110108485010796,446.0,4.0,150.0
19110108500766300,310.0,6.0,120.0
19110108535964628,222.0,3.0,96.0
19110108574258670,238.0,5.0,132.0
19110108582927800,467.0,8.0,310.0
19110108593951336,582.0,7.0,96.0
19110108595941210,151.0,1.0,2.0
19110109003063150,753.0,8.0,236.0
19110109014358610,759.0,6.0,132.0
19110109015416376,85.0,0.0,0.0
19110109042668412,1672.0,22.0,336.0
19110109045637090,1615.0,9.0,245.0
19110109052126840,152.0,4.0,66.0
19110109062023030,432.0,6.0,170.0
19110109070312410,41.0,3.0,4.0
19110109070502736,302.0,3.0,96.0
19110109072539840,383.0,4.0,66.0
19110109073392330,337.0,5.0,156.0
19110109084899132,331.0,6.0,314.0
19110109085597744,250.0,2.0,66.0
19110109090652196,86.0,2.0,36.0
19110109104561424,214.0,2.0,66.0
19110109131037124,279.0,9.0,264.0
19110109132148370,114.0,2.0,66.0
19110109134723988,304.0,4.0,140.0
19110109141623492,191.0,4.0,66.0
19110109153287624,111.0,2.0,66.0
19110109162242970,309.0,9.0,146.0
19110109185857476,105.0,2.0,66.0
19110109190460616,74.0,0.0,0.0
19110109195442884,147.0,3.0,66.0
19110109204544436,47.0,2.0,2.0
19110109240985710,396.0,5.0,160.0
19110109263029852,93.0,1.0,36.0
19110109271911736,390.0,8.0,119.0
19110109290108220,316.0,4.0,132.0
19110109300925310,868.0,7.0,306.0
19110109301724770,995.0,13.0,305.0
19110109305396016,866.0,10.0,164.0
19110109312449930,295.0,4.0,86.0
19110109331934450,1878.0,7.0,239.0
19110109352944336,155.0,4.0,8.0
19110109360265190,570.0,7.0,236.0
19110109371912456,581.0,6.0,168.0
19110109382354056,155.0,3.0,20.0
19110109392707470,632.0,6.0,347.0
19110109410151424,42.0,1.0,4.0
19110109420924744,367.0,4.0,119.0
19110109424795130,329.0,5.0,148.0
19110109433700268,736.0,7.0,603.0
19110109455515344,276.0,4.0,132.0
