# Metadata:
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/LAKELAND/LAKELAND_20191201_to_20191231_de09c18_proc.zip
# Import from fData/Raw Log Data/LAKELAND_20200101_to_20200131_a9720c1_proc.zip
# *arg* filter_args = {'query_list': ['debug == 0', 'sess_ActiveEventCount >= 10', 'sessDuration >= 300', '_continue == 0'], 'one_query': False, 'fillna': 0, 'verbose': True}
# Query: Intial Shape, output_shape: (32227, 1647)
# Query: debug == 0, output_shape: (32221, 1647)
# Query: sess_ActiveEventCount >= 10, output_shape: (26934, 1647)
# Query: sessDuration >= 300, output_shape: (16109, 1647)
# Query: _continue == 0, output_shape: (10591, 1647)
# Filled NaN with 0
# *arg* new_feat_args = {'verbose': False, 'avg_tile_hover_lvl_range': None}
# *arg* lvlfeats = ['count_blooms', 'count_deaths', 'count_farmfails', 'count_food_produced', 'count_milk_produced']
# *arg* lvlrange = range(0, 2)
# Describe Level Feats lvls 0 to 1. Assuming WINDOW_SIZE_SECONDS=300 and WINDOW_OVERLAP_SECONDS=30, filtered by (sessDuration > 570)
# *arg* finalfeats = ['avg_lvl_0_to_1_count_deaths', 'avg_lvl_0_to_1_count_farmfails', 'avg_lvl_0_to_1_count_food_produced', 'avg_lvl_0_to_1_count_milk_produced', 'avg_lvl_0_to_1_count_blooms']
# Original Num Rows: 6712
# *arg* zthresh = 3
# Removed points with abs(ZScore) >= 3. Reduced num rows: 6448
# LogTransform using np.long1p
# Scaled with scikitlearn RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
#              with_scaling=True)
# PCA df calculated with scikitlearn PCA(copy=True, iterated_power='auto', n_components=2, random_state=None,
#     svd_solver='auto', tol=0.0, whiten=False)
# Cluster on PCA dims
# Labels calculated via clusterer: KMeans(algorithm='auto', copy_x=True, init='k-means++', max_iter=300,
#        n_clusters=7, n_init=10, n_jobs=None, precompute_distances='auto',
#        random_state=None, tol=0.0001, verbose=0)

sessID,num_play,avg_lvl_0_to_1_count_deaths,avg_lvl_0_to_1_count_farmfails,avg_lvl_0_to_1_count_food_produced,avg_lvl_0_to_1_count_milk_produced,avg_lvl_0_to_1_count_blooms,label
19110002150060536,1,0.5,2.0,5.0,0.0,0.0,0
19110007194177108,1,0.5,2.0,4.0,0.0,0.0,0
19110008292229944,1,0.5,4.5,11.0,0.5,0.5,5
19110009492236160,1,0.0,1.0,4.0,0.0,0.0,0
19110010164029110,1,0.0,2.5,6.0,0.5,0.0,5
19110010203440010,1,0.0,1.5,5.0,0.0,0.0,0
19110010203440010,3,0.5,3.0,14.0,0.0,0.0,2
19110010304447410,1,0.0,1.0,4.0,0.0,0.0,0
19110010481226510,1,0.5,2.5,12.0,0.5,0.0,5
19110010481226510,2,0.0,2.0,8.0,0.0,0.0,2
19110010503835150,1,1.0,3.5,5.0,0.0,0.0,2
19110010503835150,2,0.5,2.5,5.0,0.0,0.0,2
19110011530939644,1,0.0,1.5,5.0,0.0,0.0,0
19110011530939644,4,0.5,6.0,22.0,1.0,0.0,1
19110011562116764,1,0.0,8.5,43.0,0.0,0.0,6
19110012005049364,1,0.5,1.5,4.0,0.0,0.0,0
19110012235273748,1,0.5,2.0,4.0,0.0,0.0,0
19110012263452210,1,0.0,5.5,17.0,2.5,0.0,1
19110012305822996,1,0.0,13.0,54.0,0.0,0.0,6
19110012453284390,1,0.5,4.0,11.0,0.0,0.0,2
19110012480082852,1,0.0,2.0,5.0,0.5,0.0,5
19110013230776100,1,0.0,0.5,2.0,0.0,0.0,3
19110013295821980,1,0.5,2.5,14.0,0.0,0.0,2
19110013304994696,1,0.5,3.5,8.0,1.0,0.0,5
19110013435390730,1,0.0,1.5,4.0,0.0,0.0,0
19110013555688148,1,0.0,1.5,4.0,0.0,0.0,0
19110014422132304,1,0.0,1.0,3.0,0.0,0.0,0
19110015022098816,1,0.5,2.0,5.0,0.0,0.0,0
19110015032230836,1,0.5,1.5,5.0,0.5,0.0,5
19110015084214204,1,0.5,2.0,6.0,0.0,0.0,2
19110015245374028,1,0.5,2.0,9.0,0.0,0.0,2
19110015441970924,1,1.0,2.0,7.0,0.0,0.0,2
19110016080539144,1,0.0,2.0,12.0,0.0,0.0,2
19110016253642468,1,0.5,2.5,6.0,0.5,0.0,5
19110017105196910,1,0.0,1.5,4.0,0.0,0.0,0
19110017312241544,1,0.0,1.0,4.0,0.0,0.0,0
19110018124471304,1,0.0,3.5,8.0,0.5,0.0,5
19110018124471304,2,1.0,1.5,5.0,0.0,0.0,0
19110018450701030,1,0.5,4.0,16.0,0.5,0.0,5
19110019152686816,1,0.5,1.5,5.0,0.5,0.0,5
19110019291260656,1,0.0,2.0,9.0,0.0,0.0,2
19110019352697670,1,0.0,1.5,5.0,0.0,0.0,0
19110019353637370,1,0.5,3.0,8.0,0.5,0.0,5
19110019395175564,1,0.0,3.0,8.0,0.5,0.0,5
19110019585475870,1,1.0,2.0,9.0,0.0,0.0,2
19110020130234624,1,1.0,1.0,4.0,0.0,0.0,0
19110020371436330,1,0.5,5.5,12.0,1.5,0.0,1
19110020515240010,1,0.0,5.0,13.0,0.0,0.0,2
19110021412008416,1,0.0,1.5,5.0,0.0,0.0,0
19110022023557304,1,0.0,1.5,5.0,0.0,0.0,0
19110022274676896,1,0.0,3.5,8.0,0.5,0.0,5
19110022323452720,1,1.0,6.0,25.0,0.5,0.0,6
19110107103053744,1,0.5,5.0,21.0,1.0,0.0,1
19110107314936696,1,0.5,1.5,4.0,0.0,0.0,0
19110107405732990,1,0.5,2.0,5.0,0.5,0.0,5
19110107463932870,1,0.5,3.0,3.0,0.0,0.0,0
19110108123366180,1,0.0,4.5,11.0,1.0,0.0,5
19110108154880590,1,0.5,2.5,7.0,0.0,0.0,2
19110108190486948,1,0.0,1.5,5.0,0.0,0.0,0
19110108244513680,1,0.0,1.0,5.0,0.0,0.0,0
19110108300897690,1,1.0,3.0,11.0,0.0,0.0,2
19110108332247544,1,0.5,2.0,9.0,1.0,0.0,5
19110108511565556,1,0.0,1.0,7.0,0.0,0.0,0
19110109094010504,1,0.0,3.0,9.0,0.5,0.0,5
19110109124655990,1,0.5,2.0,6.0,0.0,0.0,2
19110109175984590,1,1.0,1.5,4.0,0.0,0.0,0
19110109252314292,1,1.0,2.0,6.0,0.0,0.0,2
19110109252314292,2,0.0,4.5,14.0,0.0,0.0,2
19110109294112636,1,0.5,2.0,7.0,0.0,0.0,2
19110109420806064,1,1.0,3.0,5.0,0.0,0.0,2
19110109485142984,1,0.0,1.0,5.0,0.0,0.0,0
19110109485634820,1,0.0,2.0,4.0,0.0,0.0,0
19110001175503584,1,0.0,1.0,5.0,0.0,0.0,0
19110001274085830,1,0.0,1.0,3.0,0.0,0.0,0
19110001311565030,1,0.0,2.0,4.0,0.0,0.0,0
19110002291618864,1,0.0,7.5,31.0,0.0,0.0,6
19110003444466910,1,0.0,4.0,41.0,0.5,0.0,6
19110005184520484,1,0.0,3.0,4.0,0.0,0.0,0
19110006391623776,1,0.0,1.0,7.0,0.0,0.0,0
19110006571792850,1,0.0,1.5,5.0,0.0,0.0,0
19110007001373720,1,0.0,2.0,8.0,0.0,0.0,2
19110007091348452,1,0.0,1.5,4.0,0.0,0.0,0
19110007263188172,1,0.0,3.5,9.0,0.0,0.0,2
19110007415230884,1,0.0,0.5,3.0,0.0,0.0,0
19110007514274484,1,0.0,0.5,2.0,0.0,0.0,3
19110008143890030,1,0.0,1.0,6.0,0.0,0.0,0
19110008205914570,1,0.0,0.5,6.0,0.0,0.0,0
19110008225054100,1,0.0,1.5,9.0,0.0,0.0,2
19110008292069870,1,0.0,3.0,12.0,0.5,0.0,5
19110008292229944,2,1.0,4.5,13.0,1.0,0.0,1
19110008400831924,1,0.0,6.5,25.0,0.0,0.0,6
19110008474177544,1,0.0,0.5,4.0,0.0,0.0,0
19110008495502290,1,0.0,9.5,40.0,0.0,0.0,6
19110009090690380,1,0.5,1.5,4.0,0.0,0.0,0
19110009160961884,1,0.5,3.5,10.0,0.5,0.0,5
19110009172235556,1,0.0,4.0,10.0,1.0,0.5,5
19110009225956180,1,0.5,4.0,9.0,1.0,0.0,5
19110009461224290,1,0.0,1.5,4.0,0.0,0.0,0
19110009483183372,1,0.0,1.5,4.0,0.0,0.0,0
19110009492236160,2,0.0,1.5,5.0,0.0,0.0,0
19110010065428544,1,0.0,3.5,12.0,0.0,0.0,2
19110010112295416,1,0.0,1.0,4.0,0.0,0.0,0
19110010145341660,1,0.0,1.5,6.0,0.0,0.0,0
19110010164029110,2,1.0,10.0,26.0,4.0,0.0,4
19110010181304596,1,0.0,3.5,7.0,0.5,0.0,5
19110010184680920,1,0.0,2.5,14.0,0.0,0.0,2
19110010190353016,1,0.0,2.0,7.0,0.5,0.0,5
19110010242494964,1,0.0,5.0,13.0,1.5,0.0,1
19110010284802536,1,0.0,1.0,6.0,0.5,0.0,5
19110010330938950,1,0.5,2.0,4.0,0.0,0.0,0
19110010442053400,1,0.0,3.5,9.0,0.5,0.0,5
19110010454441200,1,0.5,4.5,10.0,0.5,0.0,5
19110010472974296,1,0.0,2.5,6.0,0.5,0.0,5
19110010481226510,3,0.0,9.0,40.0,0.0,0.0,6
19110010552289136,1,0.5,3.0,10.0,0.0,0.0,2
19110011011166296,1,0.0,0.5,1.0,0.0,0.0,3
19110011025764330,1,0.0,0.5,3.0,0.0,0.0,0
19110011042292012,1,0.0,1.5,7.0,0.0,0.0,0
19110011042450320,1,0.0,8.5,20.0,3.0,0.0,1
19110011151858476,1,0.5,5.0,20.0,0.5,0.0,6
