# Metadata:
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/LAKELAND/LAKELAND_20191201_to_20191231_de09c18_proc.zip
# Import from fData/Raw Log Data/LAKELAND_20200101_to_20200131_a9720c1_proc.zip
# *arg* filter_args = {'query_list': ['debug == 0', 'sess_ActiveEventCount >= 10', 'sessDuration >= 300', '_continue == 0', 'sessDuration <= 2700'], 'one_query': False, 'fillna': 0, 'verbose': True}
# Query: Intial Shape, output_shape: (32227, 1647)
# Query: debug == 0, output_shape: (32221, 1647)
# Query: sess_ActiveEventCount >= 10, output_shape: (26934, 1647)
# Query: sessDuration >= 300, output_shape: (16109, 1647)
# Query: _continue == 0, output_shape: (10591, 1647)
# Query: sessDuration <= 2700, output_shape: (10164, 1647)
# Filled NaN with 0
# *arg* new_feat_args = {'verbose': False, 'avg_tile_hover_lvl_range': None}
# *arg* lvlfeats = []
# *arg* lvlrange = range(0, 1)
# *arg* finalfeats = ['count_bloom_achs', 'count_farm_achs', 'count_money_achs', 'count_pop_achs', 'sessDuration']
# Original Num Rows: 10164
# *arg* zthresh = None
# LogTransform using np.long1p
# Scaled with scikitlearn RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
#              with_scaling=True)
# PCA df calculated with scikitlearn PCA(copy=True, iterated_power='auto', n_components=2, random_state=None,
#     svd_solver='auto', tol=0.0, whiten=False)
# Cluster on PCA dims
# Labels calculated via clusterer: KMeans(algorithm='auto', copy_x=True, init='k-means++', max_iter=300,
#        n_clusters=7, n_init=10, n_jobs=None, precompute_distances='auto',
#        random_state=None, tol=0.0001, verbose=0)

sessID,num_play,count_bloom_achs,count_farm_achs,count_money_achs,count_pop_achs,sessDuration,label
19110002150060536,1,0,2,0,1,705.21,3
19110007194177108,1,0,2,0,1,674.433,3
19110008292229944,1,1,1,1,1,857.575,1
19110009364430810,2,0,1,2,1,399.708,4
19110009492236160,1,0,2,0,1,1416.345,6
19110010164029110,1,0,1,0,1,789.959,4
19110010203440010,1,0,2,0,1,940.1110000000001,3
19110010203440010,3,0,1,1,1,655.696,4
19110010304447410,1,0,1,0,1,873.4689999999999,4
19110010481226510,1,0,1,1,1,935.284,1
19110010481226510,2,1,1,0,1,1830.639,1
19110010501812750,1,0,2,0,1,423.88300000000004,3
19110010503835150,1,0,2,0,1,614.0169999999999,3
19110010503835150,2,0,2,0,1,641.61,3
19110010544022356,1,0,2,0,1,468.26199999999994,3
19110011504348040,1,2,3,2,1,1181.187,2
19110011530939644,1,0,2,2,1,1336.0520000000001,6
19110011530939644,2,0,1,1,1,382.733,4
19110011530939644,3,0,1,0,1,342.26599999999996,0
19110011530939644,4,0,3,2,1,809.538,6
19110011530939644,5,0,1,1,1,553.065,4
19110011562116764,1,0,1,2,1,958.4780000000001,1
19110012005049364,1,0,1,0,1,1057.127,4
19110012221933444,1,0,2,0,1,557.016,3
19110012235273748,1,0,1,0,1,770.2389999999999,4
19110012263452210,1,1,2,2,2,845.4889999999999,6
19110012305822996,1,0,1,2,1,1536.852,1
19110012453284390,1,0,1,0,1,654.544,0
19110012480082852,1,1,2,1,1,1369.918,6
19110013230776100,1,0,2,0,1,1847.396,6
19110013295821980,1,0,1,1,1,979.065,1
19110013304994696,1,1,3,1,1,908.087,6
19110013435390730,1,0,2,0,1,1516.5020000000002,6
19110014283966350,1,0,1,0,1,413.6,0
19110014422132304,1,0,2,0,1,1798.0,6
19110015022098816,1,0,2,1,1,716.304,6
19110015032230836,1,1,2,0,1,1251.545,6
19110015084214204,1,0,2,0,1,692.673,3
19110015245374028,1,0,2,1,1,717.2610000000001,6
19110015441970924,1,0,1,0,1,638.741,0
19110016052763736,1,0,1,1,1,367.69,4
19110016080539144,1,1,2,2,1,2464.319,2
19110016253642468,1,0,2,1,1,846.8660000000001,6
19110017105196910,1,0,2,0,1,1098.7,3
19110017312241544,1,0,1,0,1,1373.7579999999998,4
19110017475293844,1,0,1,0,1,510.468,0
19110017530024836,1,0,1,0,1,503.129,0
19110017544636784,1,0,1,1,1,496.325,4
19110018124471304,1,1,3,2,1,1334.424,2
19110018124471304,2,0,2,0,1,619.024,3
19110018450701030,1,0,2,1,1,877.3539999999999,6
19110018474239250,1,0,1,1,1,604.519,4
19110018474239250,2,0,1,1,1,523.327,4
19110018524805900,1,0,1,2,1,630.141,1
19110019152686816,1,1,1,1,1,1096.326,1
19110019204910160,1,0,2,0,1,413.88199999999995,3
19110019291260656,1,0,1,2,1,1509.98,1
19110019352697670,1,0,1,0,1,1937.8270000000002,1
19110019353637370,1,0,2,1,1,744.242,6
19110019395175564,1,1,1,1,1,1104.2269999999999,1
19110019585475870,1,0,1,1,1,637.002,4
19110020130234624,1,0,1,0,1,585.51,0
19110020371436330,1,0,3,2,2,1127.879,2
19110020515240010,1,0,3,1,2,1022.372,6
19110021412008416,1,0,1,0,1,806.2860000000001,4
19110022023557304,1,1,1,2,1,1457.852,1
19110022274676896,1,0,2,1,1,909.207,6
19110022300735756,1,0,1,2,1,463.07800000000003,4
19110022323452720,1,0,1,1,1,573.819,4
19110100215609044,1,1,2,1,1,554.663,6
19110102124442720,1,2,2,1,1,643.236,6
19110107103053744,1,0,2,2,1,676.482,6
19110107133405852,1,0,1,0,1,516.6669999999999,0
19110107314936696,1,0,3,1,1,1376.0629999999999,6
19110107405732990,1,1,2,0,1,863.255,3
19110107463932870,1,0,2,2,1,664.2610000000001,6
19110108123366180,1,1,2,1,1,797.533,6
19110108154880590,1,0,2,1,1,799.278,6
19110108190486948,1,0,2,0,1,1281.422,6
19110108244513680,1,0,2,1,1,1219.566,6
19110108300897690,1,0,2,1,1,604.745,6
19110108332247544,1,1,1,1,1,737.1060000000001,4
19110108411475524,1,0,2,0,1,445.129,3
19110108511565556,1,0,2,0,1,1458.8039999999999,6
19110108545361680,2,0,3,0,1,554.601,3
19110109094010504,1,1,1,1,1,1428.142,1
19110109124655990,1,0,3,1,1,1134.0410000000002,6
