# Metadata:
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/WAVES/WAVES_20191201_to_20191231_de09c18_proc.zip
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/WAVES/WAVES_20200101_to_20200131_de09c18_proc.zip
# *arg* filter_args = {'query_list': ['QA3_questionCorrect==QA3_questionCorrect'], 'one_query': False, 'fillna': 0, 'verbose': False}
# Query: Intial Shape, output_shape: (18284, 1073)
# Query: QA3_questionCorrect==QA3_questionCorrect, output_shape: (1348, 1073)
# Filled NaN with 0
# *arg* new_feat_args = {'verbose': False}
# *arg* lvlfeats = ['rangeSlope', 'sliderAvgRange', 'totalArrowMoves', 'totalResets', 'totalSliderMoves']
# *arg* lvlrange = range(0, 17)
# *arg* finalfeats = ['sum_lvl_0_to_16_rangeSlope', 'sum_lvl_0_to_16_sliderAvgRange', 'sum_lvl_0_to_16_totalArrowMoves', 'sum_lvl_0_to_16_totalResets', 'sum_lvl_0_to_16_totalSliderMoves']
# Original Num Rows: 1348
# *arg* zthresh = 3
# Removed points with abs(ZScore) >= 3. Reduced num rows: 1241
# Scaled with scikitlearn RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
#              with_scaling=True)
# Normalized with scikitlearn Normalizer(copy=True, norm='l2')
# PCA df calculated with scikitlearn PCA(copy=True, iterated_power='auto', n_components=2, random_state=None,
#     svd_solver='auto', tol=0.0, whiten=False)
# Cluster on PCA dims
# Labels calculated via clusterer: KMeans(algorithm='auto', copy_x=True, init='k-means++', max_iter=300,
#        n_clusters=2, n_init=10, n_jobs=None, precompute_distances='auto',
#        random_state=None, tol=0.0001, verbose=0)
# Labels calculated via clusterer: KMeans(algorithm='auto', copy_x=True, init='k-means++', max_iter=300,
#        n_clusters=3, n_init=10, n_jobs=None, precompute_distances='auto',
#        random_state=None, tol=0.0001, verbose=0)
# Labels calculated via clusterer: KMeans(algorithm='auto', copy_x=True, init='k-means++', max_iter=300,
#        n_clusters=4, n_init=10, n_jobs=None, precompute_distances='auto',
#        random_state=None, tol=0.0001, verbose=0)
# Labels calculated via clusterer: KMeans(algorithm='auto', copy_x=True, init='k-means++', max_iter=300,
#        n_clusters=5, n_init=10, n_jobs=None, precompute_distances='auto',
#        random_state=None, tol=0.0001, verbose=0)

sessionID,sum_lvl_0_to_16_rangeSlope,sum_lvl_0_to_16_sliderAvgRange,sum_lvl_0_to_16_totalArrowMoves,sum_lvl_0_to_16_totalResets,sum_lvl_0_to_16_totalSliderMoves,label
19110011154094920,-21.89264018983368,454.8577159509182,1.0,0.0,91.0,4
19110011263105430,-5.394718700012061,413.17182129488,37.0,0.0,84.0,3
19110012160828970,-13.286083774002714,476.11483120331405,1.0,0.0,248.0,2
19110012222884080,-10.190978921557623,375.3314595695611,0.0,2.0,74.0,1
19110012361994616,-8.528207365970456,228.5249391586521,3.0,0.0,83.0,1
19110012434809452,-9.21183961785107,552.6419472431297,0.0,0.0,117.0,0
19110014051706060,-21.245498675874778,433.68436059543353,0.0,0.0,192.0,0
19110014223619980,-34.596861105033405,409.4800380242463,0.0,0.0,65.0,4
19110014332664440,-3.5180064840687595,280.1877921771235,0.0,1.0,130.0,1
19110014551824420,-18.739286675969147,444.3721488665028,0.0,0.0,65.0,4
19110015245052384,-40.45391110991804,349.77800656968526,0.0,0.0,42.0,4
19110015374345836,-71.42320075845596,411.0848504863946,206.0,5.0,126.0,3
19110017024589788,-16.462493838177277,427.8143351469764,0.0,0.0,51.0,1
19110017334664044,-18.026329351330265,344.8740022727677,0.0,0.0,103.0,1
19110017443024212,-7.029438409339799,348.52567099305577,0.0,0.0,189.0,3
19110018580191980,9.808971438281464,347.81392081772003,0.0,0.0,38.0,1
19110019542259708,-24.466232040782312,368.1909838283832,0.0,0.0,117.0,4
19110107551031308,-26.093686000217385,387.40851582921493,0.0,2.0,84.0,4
19110107571473520,-0.32432524414244046,505.4867966476257,1.0,2.0,173.0,2
19110107595017188,-16.423606927171388,459.59502257853563,358.0,1.0,158.0,3
19110108001003000,-26.912776607661023,443.23147045678024,0.0,9.0,174.0,2
19110108011371684,-21.076858211524826,617.3630687376834,167.0,6.0,117.0,3
19110108013431000,-14.147649600373672,476.7071930478303,3.0,0.0,108.0,0
19110108013542864,-25.591765595849544,485.4359950259234,5.0,7.0,239.0,2
19110108014515404,-73.96848940291446,571.8533995901194,84.0,2.0,136.0,0
19110108015759630,10.888828745916946,392.67876341165277,43.0,3.0,164.0,2
19110108020561010,-30.93414171265563,598.6280194306588,390.0,2.0,145.0,3
19110108021285100,-12.0395740140114,464.4897099877457,35.0,1.0,261.0,2
19110108022321810,-35.353252941941996,397.748296546772,75.0,0.0,80.0,4
19110108023584670,-20.756434110304923,338.71691470299953,1.0,11.0,193.0,2
19110108041506344,-7.440282358830281,494.01993882913507,99.0,0.0,179.0,3
19110108133080510,-0.34146148574203417,484.06217086515437,150.0,0.0,70.0,3
19110108165829172,-6.268789601232604,313.97139297008425,55.0,0.0,65.0,1
