# Metadata:
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/WAVES/WAVES_20191201_to_20191231_de09c18_proc.zip
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/WAVES/WAVES_20200101_to_20200131_de09c18_proc.zip
# *arg* filter_args = {'query_list': ['QA3_questionCorrect==QA3_questionCorrect'], 'one_query': False, 'fillna': 0, 'verbose': False}
# Query: Intial Shape, output_shape: (18284, 1073)
# Query: QA3_questionCorrect==QA3_questionCorrect, output_shape: (1348, 1073)
# Filled NaN with 0
# *arg* new_feat_args = {'verbose': False}
# *arg* lvlfeats = ['amplitudeGoodMoveCount', 'closenessSlope', 'offsetGoodMoveCount', 'succeedCount', 'wavelengthGoodMoveCount']
# *arg* lvlrange = range(0, 17)
# *arg* finalfeats = ['sum_lvl_0_to_16_amplitudeGoodMoveCount', 'sum_lvl_0_to_16_closenessSlope', 'sum_lvl_0_to_16_offsetGoodMoveCount', 'sum_lvl_0_to_16_succeedCount', 'sum_lvl_0_to_16_wavelengthGoodMoveCount']
# Original Num Rows: 1348
# *arg* zthresh = 3
# Removed points with abs(ZScore) >= 3. Reduced num rows: 1254

sessionID,sum_lvl_0_to_16_amplitudeGoodMoveCount,sum_lvl_0_to_16_closenessSlope,sum_lvl_0_to_16_offsetGoodMoveCount,sum_lvl_0_to_16_succeedCount,sum_lvl_0_to_16_wavelengthGoodMoveCount
19110011154094920,14.0,-184.5550605956256,20.0,42.0,15.0
19110011263105430,19.0,-786.260345242904,31.0,37.0,24.0
19110012160828970,27.0,-522.4428819555305,53.0,115.0,47.0
19110012222884080,11.0,-1164.3400809861146,21.0,57.0,6.0
19110012361994616,18.0,-794.0867897723997,17.0,45.0,11.0
19110012434809452,17.0,-728.1788501104429,31.0,37.0,15.0
19110014051706060,26.0,-737.1590704686192,47.0,79.0,36.0
19110014223619980,19.0,-1008.6536680728192,13.0,30.0,13.0
19110014332664440,29.0,-962.034558720995,27.0,39.0,13.0
19110014551824420,11.0,-1034.9636673077653,14.0,40.0,14.0
19110015245052384,10.0,-688.6211125925387,12.0,49.0,5.0
19110015374345836,76.0,-196.93841330310602,41.0,47.0,47.0
19110017024589788,12.0,-903.2818786012148,14.0,32.0,8.0
19110017334664044,22.0,-1363.5196956413079,16.0,31.0,21.0
19110017443024212,26.0,-511.16553979091356,38.0,55.0,33.0
19110017443302390,49.0,-464.8659957648259,74.0,26.0,81.0
19110018580191980,9.0,-669.5300894044314,10.0,37.0,5.0
19110019542259708,24.0,-449.39642411767045,23.0,31.0,13.0
19110107551031308,13.0,-730.3010466436889,20.0,35.0,12.0
19110107571473520,33.0,-734.517244258387,31.0,63.0,23.0
19110107595017188,76.0,-486.8282023927211,125.0,71.0,76.0
19110108001003000,36.0,-267.43620889961585,36.0,35.0,24.0
