# Metadata:
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/WAVES/WAVES_20191201_to_20191231_de09c18_proc.zip
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/WAVES/WAVES_20200101_to_20200131_de09c18_proc.zip
# *arg* filter_args = {'query_list': ['QA3_questionCorrect==QA3_questionCorrect'], 'one_query': False, 'fillna': 0, 'verbose': False}
# Query: Intial Shape, output_shape: (18284, 1073)
# Query: QA3_questionCorrect==QA3_questionCorrect, output_shape: (1348, 1073)
# Filled NaN with 0
# *arg* new_feat_args = {'verbose': False}
# *arg* lvlfeats = ['closenessSlope', 'succeedCount', 'totalGoodMoveCount']
# *arg* lvlrange = range(0, 17)
# *arg* finalfeats = ['sum_lvl_0_to_16_closenessSlope', 'sum_lvl_0_to_16_succeedCount', 'sum_lvl_0_to_16_totalGoodMoveCount']
# Original Num Rows: 1348
# *arg* zthresh = 3
# Removed points with abs(ZScore) >= 3. Reduced num rows: 1275
# Scaled with scikitlearn RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
#              with_scaling=True)
# PCA df calculated with scikitlearn PCA(copy=True, iterated_power='auto', n_components=2, random_state=None,
#     svd_solver='auto', tol=0.0, whiten=False)
# Cluster on PCA dims
# Labels calculated via clusterer: KMeans(algorithm='auto', copy_x=True, init='k-means++', max_iter=300,
#        n_clusters=2, n_init=10, n_jobs=None, precompute_distances='auto',
#        random_state=None, tol=0.0001, verbose=0)
# Labels calculated via clusterer: KMeans(algorithm='auto', copy_x=True, init='k-means++', max_iter=300,
#        n_clusters=3, n_init=10, n_jobs=None, precompute_distances='auto',
#        random_state=None, tol=0.0001, verbose=0)
# Labels calculated via clusterer: KMeans(algorithm='auto', copy_x=True, init='k-means++', max_iter=300,
#        n_clusters=4, n_init=10, n_jobs=None, precompute_distances='auto',
#        random_state=None, tol=0.0001, verbose=0)

sessionID,sum_lvl_0_to_16_closenessSlope,sum_lvl_0_to_16_succeedCount,sum_lvl_0_to_16_totalGoodMoveCount,label
19110011154094920,-184.5550605956256,42.0,49.0,0
19110011263105430,-786.260345242904,37.0,74.0,0
19110012160828970,-522.4428819555305,115.0,127.0,1
19110012222884080,-1164.3400809861146,57.0,38.0,0
19110012361994616,-794.0867897723997,45.0,46.0,0
19110012434809452,-728.1788501104429,37.0,63.0,0
19110014051706060,-737.1590704686192,79.0,109.0,1
19110014223619980,-1008.6536680728192,30.0,45.0,0
19110014332664440,-962.034558720995,39.0,69.0,0
19110014551824420,-1034.9636673077653,40.0,39.0,0
19110015245052384,-688.6211125925387,49.0,27.0,0
19110015374345836,-196.93841330310602,47.0,164.0,3
19110017024589788,-903.2818786012148,32.0,34.0,0
19110017334664044,-1363.5196956413079,31.0,59.0,0
19110017443024212,-511.16553979091356,55.0,97.0,3
19110017443302390,-464.8659957648259,26.0,204.0,2
19110018580191980,-669.5300894044314,37.0,24.0,0
19110019542259708,-449.39642411767045,31.0,60.0,0
19110107551031308,-730.3010466436889,35.0,45.0,0
19110107571473520,-734.517244258387,63.0,87.0,3
19110107595017188,-486.8282023927211,71.0,277.0,2
19110108001003000,-267.43620889961585,35.0,96.0,3
19110108011371684,-988.6834677147792,36.0,142.0,3
19110108013431000,-307.58145735853543,37.0,46.0,0
19110108013542864,-357.21375861595465,53.0,113.0,3
19110108014515404,-876.5937105279338,45.0,110.0,3
19110108015759630,-271.8663636081056,42.0,115.0,3
19110108020561010,-591.0473856033632,63.0,329.0,2
19110108021285100,-329.5906433406893,76.0,150.0,1
19110108022321810,-426.68435101271245,28.0,102.0,3
19110108023584670,-410.0101837846925,46.0,98.0,3
19110108041506344,-128.1831595084726,52.0,135.0,3
19110108133080510,-351.561957155741,22.0,125.0,3
19110108165829172,-293.84999351778407,28.0,81.0,0
19110108261629244,-371.64604192956494,36.0,113.0,3
19110108262272756,-410.7367812046275,43.0,58.0,0
19110108373226264,-587.6783692459842,49.0,249.0,2
19110108435257576,-606.854722362925,86.0,165.0,1
19110108575965370,-548.4219591108626,53.0,86.0,3
19110109230755356,-459.42337758280735,26.0,43.0,0
19110109342553936,-236.86289264126202,33.0,71.0,0
19110109571820850,-466.96506419347526,61.0,134.0,3
19110109574610820,-181.6461686976719,41.0,82.0,3
19110109575556950,-689.3012808078468,36.0,41.0,0
19110109584246300,-382.3985435914694,48.0,78.0,3
19110109590095790,-185.22538595913892,61.0,97.0,3
19110109591422812,-309.80395230174776,44.0,67.0,3
19110109591729410,-246.10168239730842,43.0,71.0,3
19110109594482244,-500.9705671547617,48.0,52.0,0
19110109595275296,-426.1725799817347,44.0,69.0,3
19110110002385320,-356.13942046755136,43.0,73.0,3
19110110175097704,-465.89061115978575,38.0,37.0,0
19110110190900336,-752.9948173771404,26.0,69.0,0
19110110463344070,-113.29481606069335,46.0,77.0,3
19110110510645820,-365.70405954806705,37.0,46.0,0
19110111042845056,-1215.5138058392777,50.0,86.0,3
19110111313649184,-757.1970402637354,32.0,54.0,0
19110112073707190,-494.9121737851022,27.0,375.0,2
19110112091493064,-202.71093245534186,36.0,120.0,3
19110112190665430,-477.13825530175274,44.0,80.0,3
19110112220210148,-727.9272586851242,51.0,126.0,3
19110112351393464,-648.0414739381924,34.0,65.0,0
19110112365884324,-615.3629260636784,44.0,94.0,3
19110112375580510,-321.65674916124266,44.0,59.0,0
19110112380399496,-255.72582170563462,19.0,316.0,2
19110112532029104,-583.273088197943,100.0,90.0,1
19110112554102580,-522.893291911468,30.0,71.0,0
19110112572525660,-292.6418977057091,34.0,69.0,0
19110112573929730,-452.004883470016,73.0,416.0,2
19110112580127970,-940.664333329986,22.0,40.0,0
19110112584533336,-645.5096084258489,37.0,38.0,0
19110113053499332,-639.302853651978,31.0,42.0,0
19110113074696300,-588.293578298779,24.0,51.0,0
19110113110629916,-865.1522005709111,27.0,61.0,0
19110113111657428,-446.3059223908844,45.0,47.0,0
19110113214639960,-380.37218287906074,35.0,51.0,0
19110113243415924,-103.9951014772712,41.0,293.0,2
19110113282927964,-931.9161687504387,62.0,161.0,3
19110113283797556,-134.3796642353331,43.0,119.0,3
19110113284022830,-169.45176782601953,40.0,74.0,3
19110113284088424,-251.28138122563857,38.0,274.0,2
19110113290719860,-728.4707194882221,47.0,69.0,0
19110113291432760,-239.02807340785589,56.0,68.0,3
19110113300838380,-570.1793399238891,36.0,104.0,3
19110113310679590,-238.99508891186107,45.0,88.0,3
19110113313780076,-410.74555695113906,29.0,135.0,3
19110113314376264,-783.6602763467415,85.0,110.0,1
19110113321000384,-595.2413271707437,34.0,56.0,0
19110113321832916,-795.1917666623103,32.0,76.0,0
19110113322692800,-232.727492770983,50.0,68.0,3
19110113325158724,-492.5436766882335,82.0,54.0,1
19110113330380950,-239.90393404852665,38.0,66.0,0
19110113402691480,-439.8372223407535,84.0,89.0,1
19110113473470070,-731.8917870910853,30.0,51.0,0
19110113480486104,-588.516788299472,50.0,74.0,3
19110113490772476,-1124.6127880745225,26.0,46.0,0
19110113554973824,-282.34219880925286,40.0,54.0,0
19110114043202944,-745.1643849577623,34.0,59.0,0
19110114175622600,-189.46409979948686,39.0,72.0,3
19110114222919410,-361.77529978673533,39.0,52.0,0
19110114365327090,-744.3222316893477,37.0,34.0,0
19110114391080120,-895.5973476596733,40.0,45.0,0
19110114440713960,-390.4040025362902,52.0,66.0,3
19110115083913544,-501.1555924141672,58.0,64.0,3
19110115172186410,-415.02585290286146,43.0,93.0,3
19110116105184504,-448.16204048259027,39.0,48.0,0
19110118204374930,-701.6961602389376,76.0,107.0,1
19110119141965708,-409.6176751411946,99.0,179.0,1
19110120545659390,-562.4182898787261,37.0,139.0,3
19110121154948890,-262.6835396135033,38.0,54.0,0
19110123154470680,-1140.2810468869873,29.0,28.0,0
19110207121359550,-422.64481387770263,115.0,100.0,1
19110207123595010,-413.62218292397387,46.0,168.0,3
19110207130916176,-268.93119720629466,68.0,120.0,1
19110207133076972,-376.0262576186336,42.0,99.0,3
19110207142548144,-76.88875743868898,39.0,135.0,3
19110207172711796,-824.1159699115792,63.0,81.0,3
19110207195678324,-500.93042181354156,42.0,67.0,0
19110207205216924,-679.5756434661556,27.0,75.0,0
19110208050202664,-459.81240312407186,42.0,88.0,3
19110208054386076,-518.9331320965516,44.0,72.0,3
19110208055836710,-182.57047729521037,29.0,79.0,0
19110208063044520,-185.76780442316277,54.0,78.0,3
19110208080097350,-391.70930016342743,39.0,56.0,0
19110208111205410,-297.2606999267264,66.0,158.0,1
19110208115794380,-435.4388068613932,65.0,145.0,1
19110208123093864,-678.7129305238358,50.0,105.0,3
19110208133898970,-937.5930404392833,50.0,104.0,3
19110208144424780,-449.87420605948097,34.0,65.0,0
19110208145259216,-827.7059823623372,46.0,98.0,3
