# Metadata:
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/WAVES/WAVES_20191201_to_20191231_de09c18_proc.zip
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/WAVES/WAVES_20200101_to_20200131_de09c18_proc.zip
# *arg* filter_args = {'query_list': ['QA1_questionCorrect==QA1_questionCorrect', 'avgLevelTime <= 360'], 'one_query': False, 'fillna': 0, 'verbose': False}
# Query: Intial Shape, output_shape: (18284, 1073)
# Query: QA1_questionCorrect==QA1_questionCorrect, output_shape: (5980, 1073)
# Query: avgLevelTime <= 360, output_shape: (5880, 1073)
# Filled NaN with 0
# *arg* new_feat_args = {'verbose': False}
# *arg* lvlfeats = ['completed', 'totalLevelTime']
# *arg* lvlrange = range(0, 35)
# *arg* finalfeats = ['sum_lvl_0_to_34_completed', 'sum_lvl_0_to_34_totalLevelTime', 'sum_random_complete_count']
# Scaled with scikitlearn RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
#              with_scaling=True)
# PCA df calculated with scikitlearn PCA(copy=True, iterated_power='auto', n_components=2, random_state=None,
#     svd_solver='auto', tol=0.0, whiten=False)
# Cluster on PCA dims
# Labels calculated via clusterer: KMeans(algorithm='auto', copy_x=True, init='k-means++', max_iter=300,
#        n_clusters=2, n_init=10, n_jobs=None, precompute_distances='auto',
#        random_state=None, tol=0.0001, verbose=0)
# Labels calculated via clusterer: KMeans(algorithm='auto', copy_x=True, init='k-means++', max_iter=300,
#        n_clusters=3, n_init=10, n_jobs=None, precompute_distances='auto',
#        random_state=None, tol=0.0001, verbose=0)

sessionID,sum_lvl_0_to_34_completed,sum_lvl_0_to_34_totalLevelTime,sum_random_complete_count,label
19100212574686610,9.0,172.0,25.0,2
19110006530675470,22.0,441.0,5.0,1
19110009174414376,9.0,257.0,0.0,1
19110009343268468,10.0,412.0,1.0,1
19110009515212970,9.0,1150.0,0.0,1
19110010290077524,10.0,391.0,5.0,1
19110011154094920,24.0,752.0,2.0,0
19110011172622710,13.0,841.0,2.0,1
19110011263105430,18.0,693.0,2.0,1
19110011303321360,8.0,854.0,0.0,1
19110011365163724,10.0,168.0,2.0,1
19110012120038920,11.0,559.0,8.0,1
19110012160828970,19.0,1239.0,12.0,0
19110012222884080,20.0,643.0,0.0,1
19110012284345800,10.0,235.0,0.0,1
19110012361994616,16.0,455.0,0.0,1
19110012434809452,27.0,785.0,2.0,0
19110013135541540,10.0,266.0,3.0,1
19110013203887490,10.0,408.0,5.0,1
19110014051706060,29.0,788.0,50.0,2
19110014223619980,16.0,436.0,0.0,1
19110014224206840,9.0,254.0,0.0,1
19110014243875480,10.0,402.0,1.0,1
19110014332664440,32.0,570.0,18.0,2
19110014383647308,10.0,3440.0,6.0,0
19110014551824420,18.0,231.0,2.0,1
19110015032213972,9.0,460.0,44.0,2
19110015245052384,25.0,797.0,2.0,0
19110015454302556,9.0,665.0,0.0,1
19110016480324950,9.0,187.0,0.0,1
19110016520035056,9.0,276.0,0.0,1
19110016520558612,10.0,309.0,6.0,1
19110017024589788,22.0,257.0,2.0,1
19110017154522120,10.0,289.0,4.0,1
19110017165785388,9.0,203.0,0.0,1
19110017242855860,14.0,793.0,0.0,1
19110017334664044,22.0,606.0,0.0,1
19110017375220772,13.0,255.0,0.0,1
19110017385038840,9.0,289.0,4.0,1
19110017401098710,9.0,366.0,0.0,1
19110017443024212,15.0,873.0,10.0,2
19110017443302390,27.0,7668.0,0.0,0
19110017484162896,10.0,147.0,15.0,2
19110018580191980,20.0,534.0,0.0,1
19110019542259708,16.0,522.0,0.0,1
19110020002833344,10.0,360.0,0.0,1
19110020122409550,10.0,181.0,3.0,1
19110020364045504,10.0,256.0,7.0,1
19110106585656868,9.0,175.0,0.0,1
19110107000887456,9.0,294.0,0.0,1
19110107164826060,11.0,642.0,8.0,1
19110107174562396,9.0,612.0,1.0,1
19110107305564970,12.0,672.0,0.0,1
19110107500527308,9.0,145.0,0.0,1
19110107521797532,9.0,288.0,0.0,1
19110107551031308,33.0,949.0,13.0,0
19110107571473520,22.0,1623.0,8.0,0
19110107592959708,14.0,775.0,0.0,1
19110107595017188,31.0,1137.0,24.0,2
19110107595897970,13.0,234.0,0.0,1
19110108001003000,25.0,2301.0,2.0,0
19110108002492948,9.0,367.0,0.0,1
19110108011371684,18.0,1467.0,0.0,0
19110108013315570,10.0,374.0,32.0,2
19110108013320090,13.0,1653.0,7.0,0
19110108013431000,17.0,757.0,19.0,2
19110108013542864,28.0,1681.0,14.0,0
19110108014515404,25.0,1478.0,7.0,0
19110108015759630,15.0,1510.0,3.0,0
19110108020561010,28.0,1269.0,19.0,2
19110108021285100,28.0,1302.0,20.0,2
19110108022321810,16.0,917.0,3.0,1
19110108022415160,12.0,866.0,12.0,2
19110108022769584,13.0,1373.0,2.0,0
19110108022823936,10.0,1450.0,11.0,0
19110108023584670,28.0,1186.0,13.0,0
19110108040750710,9.0,770.0,0.0,1
19110108041506344,17.0,1321.0,8.0,0
19110108052398724,13.0,759.0,4.0,1
19110108053763332,10.0,1249.0,2.0,1
19110108060675296,9.0,1027.0,0.0,1
19110108071087704,10.0,731.0,1.0,1
19110108093116680,14.0,283.0,0.0,1
19110108133080510,19.0,1142.0,0.0,0
19110108162666544,9.0,228.0,16.0,2
19110108165829172,23.0,524.0,0.0,1
19110108191048144,10.0,256.0,5.0,1
19110108261629244,30.0,455.0,0.0,0
19110108262272756,23.0,878.0,0.0,0
19110108275827230,15.0,619.0,3.0,1
19110108275989150,16.0,220.0,0.0,1
19110108285592256,9.0,355.0,2.0,1
19110108311779956,9.0,1825.0,0.0,0
19110108311981416,9.0,718.0,1.0,1
19110108332640588,15.0,755.0,1.0,1
19110108373226264,21.0,2822.0,9.0,0
19110108382046370,14.0,475.0,0.0,1
19110108383510170,9.0,309.0,0.0,1
19110108384070000,10.0,552.0,2.0,1
19110108414021796,9.0,490.0,0.0,1
19110108421264216,15.0,835.0,8.0,1
19110108421474080,9.0,267.0,0.0,1
19110108425484850,9.0,340.0,1.0,1
19110108431467720,13.0,483.0,0.0,1
19110108435257576,26.0,1187.0,26.0,2
19110108440274890,5.0,363.0,0.0,1
19110108460913604,14.0,249.0,0.0,1
19110108470606804,10.0,330.0,7.0,1
19110108480974180,13.0,722.0,0.0,1
19110108575965370,32.0,883.0,8.0,0
